Entrez_ID	Gene_Symbol	Description
10785		WDR4 tRNA N7-guanosine methyltransferase non-catalytic subunit
10786		solute carrier family 17 member 3
10787		NCK associated protein 1
10788		IQ motif containing GTPase activating protein 2
10791		vesicle associated membrane protein 5
10793		zinc finger protein 273
10794	Failed_10794	
10795		zinc finger protein 268
10797		methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase
10799	Failed_10799	
108	Failed_108	
1080		CF transmembrane conductance regulator
10800		cysteinyl leukotriene receptor 1
10801		septin 9
10802		SEC24 homolog A, COPII coat complex component
10803		C-C motif chemokine receptor 9
10804		gap junction protein beta 6
10806		SHH signaling and ciliogenesis regulator SDCCAG8
10807	Failed_10807	
10808		heat shock protein family H (Hsp110) member 1
